#      time	       Pop1	       Pop2
0.00000e+00	0.00000e+00	1.00000e+00
1.00000e-01	7.90000e-07	9.99999e-01
2.00000e-01	2.59000e-06	9.99997e-01
3.00000e-01	4.53000e-06	9.99995e-01
4.00000e-01	5.87000e-06	9.99994e-01
5.00000e-01	6.23000e-06	9.99994e-01
6.00000e-01	5.64000e-06	9.99994e-01
7.00000e-01	4.46000e-06	9.99996e-01
8.00000e-01	3.16000e-06	9.99997e-01
9.00000e-01	2.17000e-06	9.99998e-01
1.00000e+00	1.78000e-06	9.99998e-01
1.10000e+00	2.02000e-06	9.99998e-01
1.20000e+00	2.73000e-06	9.99997e-01
1.30000e+00	3.68000e-06	9.99996e-01
1.40000e+00	4.59000e-06	9.99995e-01
1.50000e+00	5.29000e-06	9.99995e-01
1.60000e+00	5.71000e-06	9.99994e-01
1.70000e+00	5.89000e-06	9.99994e-01
1.80000e+00	5.94000e-06	9.99994e-01
1.90000e+00	6.01000e-06	9.99994e-01
2.00000e+00	6.22000e-06	9.99994e-01
2.10000e+00	6.65000e-06	9.99993e-01
2.20000e+00	7.32000e-06	9.99993e-01
2.30000e+00	8.23000e-06	9.99992e-01
2.40000e+00	9.33000e-06	9.99991e-01
2.50000e+00	1.05900e-05	9.99989e-01
2.60000e+00	1.19800e-05	9.99988e-01
2.70000e+00	1.35000e-05	9.99987e-01
2.80000e+00	1.51900e-05	9.99985e-01
2.90000e+00	1.70800e-05	9.99983e-01
3.00000e+00	1.92600e-05	9.99981e-01
3.10000e+00	2.17900e-05	9.99978e-01
3.20000e+00	2.47900e-05	9.99975e-01
3.30000e+00	2.83500e-05	9.99972e-01
3.40000e+00	3.26100e-05	9.99967e-01
3.50000e+00	3.77000e-05	9.99962e-01
3.60000e+00	4.38200e-05	9.99956e-01
3.70000e+00	5.12000e-05	9.99949e-01
3.80000e+00	6.01300e-05	9.99940e-01
3.90000e+00	7.09800e-05	9.99929e-01
4.00000e+00	8.42200e-05	9.99916e-01
4.10000e+00	1.00480e-04	9.99900e-01
4.20000e+00	1.20540e-04	9.99879e-01
4.30000e+00	1.45420e-04	9.99855e-01
4.40000e+00	1.76460e-04	9.99824e-01
4.50000e+00	2.15410e-04	9.99785e-01
4.60000e+00	2.64580e-04	9.99735e-01
4.70000e+00	3.27080e-04	9.99673e-01
4.80000e+00	4.07090e-04	9.99593e-01
4.90000e+00	5.10400e-04	9.99490e-01
5.00000e+00	6.45160e-04	9.99355e-01
5.10000e+00	8.23250e-04	9.99177e-01
5.20000e+00	1.06250e-03	9.98938e-01
5.30000e+00	1.39035e-03	9.98610e-01
5.40000e+00	1.84836e-03	9.98152e-01
5.50000e+00	2.49249e-03	9.97508e-01
5.60000e+00	3.37307e-03	9.96627e-01
5.70000e+00	4.48506e-03	9.95515e-01
5.80000e+00	5.74974e-03	9.94250e-01
5.90000e+00	7.10946e-03	9.92891e-01
6.00000e+00	8.69240e-03	9.91308e-01
6.10000e+00	1.07476e-02	9.89252e-01
6.20000e+00	1.36947e-02	9.86305e-01
6.30000e+00	1.76643e-02	9.82336e-01
6.40000e+00	2.22409e-02	9.77759e-01
6.50000e+00	2.71434e-02	9.72857e-01
6.60000e+00	3.33278e-02	9.66672e-01
6.70000e+00	3.96082e-02	9.60392e-01
6.80000e+00	4.67085e-02	9.53292e-01
6.90000e+00	5.81183e-02	9.41882e-01
7.00000e+00	7.59955e-02	9.24004e-01
7.10000e+00	9.36756e-02	9.06324e-01
7.20000e+00	1.13159e-01	8.86841e-01
7.30000e+00	1.36015e-01	8.63985e-01
7.40000e+00	1.61594e-01	8.38406e-01
7.50000e+00	1.84515e-01	8.15485e-01
7.60000e+00	2.09108e-01	7.90892e-01
7.70000e+00	2.37898e-01	7.62102e-01
7.80000e+00	2.66692e-01	7.33308e-01
7.90000e+00	2.98446e-01	7.01554e-01
8.00000e+00	3.28060e-01	6.71940e-01
8.10000e+00	3.59604e-01	6.40396e-01
8.20000e+00	3.89330e-01	6.10670e-01
8.30000e+00	4.19422e-01	5.80578e-01
8.40000e+00	4.50929e-01	5.49071e-01
8.50000e+00	4.83931e-01	5.16069e-01
8.60000e+00	5.13511e-01	4.86489e-01
8.70000e+00	5.40305e-01	4.59695e-01
8.80000e+00	5.65402e-01	4.34598e-01
8.90000e+00	5.87762e-01	4.12238e-01
9.00000e+00	6.08183e-01	3.91817e-01
9.10000e+00	6.27987e-01	3.72013e-01
9.20000e+00	6.46420e-01	3.53580e-01
9.30000e+00	6.67112e-01	3.32888e-01
9.40000e+00	6.76990e-01	3.23010e-01
9.50000e+00	6.88431e-01	3.11569e-01
9.60000e+00	6.98697e-01	3.01303e-01
9.70000e+00	7.09323e-01	2.90677e-01
9.80000e+00	7.19314e-01	2.80686e-01
9.90000e+00	7.27558e-01	2.72442e-01
1.00000e+01	7.35722e-01	2.64278e-01
1.01000e+01	7.40962e-01	2.59038e-01
1.02000e+01	7.45737e-01	2.54263e-01
1.03000e+01	7.51074e-01	2.48926e-01
1.04000e+01	7.54939e-01	2.45061e-01
1.05000e+01	7.57135e-01	2.42865e-01
1.06000e+01	7.58796e-01	2.41204e-01
1.07000e+01	7.59924e-01	2.40076e-01
1.08000e+01	7.61893e-01	2.38107e-01
1.09000e+01	7.63852e-01	2.36148e-01
1.10000e+01	7.65158e-01	2.34842e-01
1.11000e+01	7.66330e-01	2.33670e-01
1.12000e+01	7.67555e-01	2.32445e-01
1.13000e+01	7.68988e-01	2.31012e-01
1.14000e+01	7.70628e-01	2.29372e-01
1.15000e+01	7.72354e-01	2.27646e-01
1.16000e+01	7.74094e-01	2.25906e-01
1.17000e+01	7.76070e-01	2.23930e-01
1.18000e+01	7.78731e-01	2.21269e-01
1.19000e+01	7.81691e-01	2.18309e-01
1.20000e+01	7.84186e-01	2.15814e-01
1.21000e+01	7.86545e-01	2.13455e-01
1.22000e+01	7.89715e-01	2.10285e-01
1.23000e+01	7.92872e-01	2.07128e-01
1.24000e+01	7.95142e-01	2.04858e-01
1.25000e+01	7.99752e-01	2.00248e-01
1.26000e+01	8.03911e-01	1.96089e-01
1.27000e+01	8.05722e-01	1.94278e-01
1.28000e+01	8.07323e-01	1.92677e-01
1.29000e+01	8.08518e-01	1.91482e-01
1.30000e+01	8.12118e-01	1.87882e-01
1.31000e+01	8.14265e-01	1.85735e-01
1.32000e+01	8.13807e-01	1.86193e-01
1.33000e+01	8.13222e-01	1.86778e-01
1.34000e+01	8.12361e-01	1.87639e-01
1.35000e+01	8.11220e-01	1.88780e-01
1.36000e+01	8.09801e-01	1.90199e-01
1.37000e+01	8.08135e-01	1.91865e-01
1.38000e+01	8.06302e-01	1.93698e-01
1.39000e+01	8.04745e-01	1.95255e-01
1.40000e+01	8.03207e-01	1.96793e-01
1.41000e+01	8.01568e-01	1.98432e-01
1.42000e+01	7.99298e-01	2.00702e-01
1.43000e+01	7.96242e-01	2.03758e-01
1.44000e+01	7.93427e-01	2.06573e-01
1.45000e+01	7.90736e-01	2.09264e-01
1.46000e+01	7.87105e-01	2.12895e-01
1.47000e+01	7.82601e-01	2.17399e-01
1.48000e+01	7.78680e-01	2.21320e-01
1.49000e+01	7.75101e-01	2.24899e-01
1.50000e+01	7.71290e-01	2.28710e-01
1.51000e+01	7.66932e-01	2.33068e-01
1.52000e+01	7.62004e-01	2.37996e-01
1.53000e+01	7.57282e-01	2.42718e-01
1.54000e+01	7.53815e-01	2.46185e-01
1.55000e+01	7.51185e-01	2.48815e-01
1.56000e+01	7.48821e-01	2.51179e-01
1.57000e+01	7.46564e-01	2.53436e-01
1.58000e+01	7.44595e-01	2.55405e-01
1.59000e+01	7.43102e-01	2.56898e-01
1.60000e+01	7.42006e-01	2.57994e-01
1.61000e+01	7.41004e-01	2.58996e-01
1.62000e+01	7.40325e-01	2.59675e-01
1.63000e+01	7.39942e-01	2.60058e-01
1.64000e+01	7.39860e-01	2.60140e-01
1.65000e+01	7.40053e-01	2.59947e-01
1.66000e+01	7.40496e-01	2.59504e-01
1.67000e+01	7.41467e-01	2.58533e-01
1.68000e+01	7.42817e-01	2.57183e-01
1.69000e+01	7.44290e-01	2.55710e-01
1.70000e+01	7.45842e-01	2.54158e-01
1.71000e+01	7.47439e-01	2.52561e-01
1.72000e+01	7.49048e-01	2.50952e-01
1.73000e+01	7.50641e-01	2.49359e-01
1.74000e+01	7.52194e-01	2.47806e-01
1.75000e+01	7.53689e-01	2.46311e-01
1.76000e+01	7.55112e-01	2.44888e-01
1.77000e+01	7.56454e-01	2.43546e-01
1.78000e+01	7.57710e-01	2.42290e-01
1.79000e+01	7.58877e-01	2.41123e-01
1.80000e+01	7.59955e-01	2.40045e-01
1.81000e+01	7.60942e-01	2.39058e-01
1.82000e+01	7.61840e-01	2.38160e-01
1.83000e+01	7.62652e-01	2.37348e-01
1.84000e+01	7.63383e-01	2.36617e-01
1.85000e+01	7.64039e-01	2.35961e-01
1.86000e+01	7.64627e-01	2.35373e-01
1.87000e+01	7.65158e-01	2.34842e-01
1.88000e+01	7.65638e-01	2.34362e-01
1.89000e+01	7.66077e-01	2.33923e-01
1.90000e+01	7.66481e-01	2.33519e-01
1.91000e+01	7.66855e-01	2.33145e-01
1.92000e+01	7.67204e-01	2.32796e-01
1.93000e+01	7.67529e-01	2.32471e-01
1.94000e+01	7.67832e-01	2.32168e-01
1.95000e+01	7.68113e-01	2.31887e-01
1.96000e+01	7.68370e-01	2.31630e-01
1.97000e+01	7.68605e-01	2.31395e-01
1.98000e+01	7.68816e-01	2.31184e-01
1.99000e+01	7.69003e-01	2.30997e-01
2.00000e+01	7.69167e-01	2.30833e-01
